gene	cnv
A1BG	2.13
A1BG-AS1	2.13
A1CF	1.96
A2M	2.061
A2M-AS1	2.061
A2ML1	2.061
A2MP1	2
A3GALT2	2.053
A4GALT	1.865
A4GNT	2.033
AA06	2
AAAS	2.061
AACS	2.061
AACSP1	2
AADAC	2.033
AADACL2	2.539
AADACL2-AS1	2.033
AADACL3	2.053
AADACL4	2.053
AADACP1	2
AADAT	2.39
AAED1	1.61
AAGAB	2
AAK1	1.975
AAMDC	1.922
AAMP	2.13
AANAT	1.954
AAR2	1.849
AARD	1.914
AARS	2.266
AARS2	1.703
AARSD1	1.954
AASDH	2.39
AASDHPPT	1.922
AASS	2.009
AATBC	2.223
AATF	1.869
AATK	1.954
AATK-AS1	1.954
ABALON	1.849
ABAT	2.167
ABCA1	1.61
ABCA10	1.954
ABCA11P	2.05
ABCA12	2.13
ABCA13	2.009
ABCA17P	2.167
ABCA2	1.61
ABCA3	2.167
ABCA4	2.053
ABCA5	1.954
ABCA6	1.954
ABCA7	2.368
ABCA8	1.954
ABCA9	1.954
ABCA9-AS1	1.954
ABCB1	2.009
ABCB10	1.973
ABCB11	0.891
ABCB4	2.009
ABCB5	2.009
ABCB6	2.13
ABCB7	2.147
ABCB8	2.009
ABCB9	2.061
ABCC1	2.264
ABCC10	1.703
ABCC11	2.266
ABCC12	2.266
ABCC13	2.223
ABCC2	1.96
ABCC3	1.954
ABCC4	2.057
ABCC5	2.033
ABCC5-AS1	2
ABCC6	2.264
ABCC6P1	2.167
ABCC6P2	2.264
ABCC8	2.205
ABCC9	2.061
ABCD1	2.147
ABCD2	2.061
ABCD3	2.053
ABCD4	1.92
ABCE1	2.39
ABCF1	1.646
ABCF2	2.009
ABCF3	2.033
ABCG1	2.223
ABCG2	2.39
ABCG4	1.922
ABCG5	1.975
ABCG8	1.975
ABHD1	1.975
ABHD10	1.635
ABHD11	2.009
ABHD11-AS1	2
ABHD12	1.849
ABHD12B	1.92
ABHD13	2
ABHD14A	1.635
ABHD14A-ACY1	1.635
ABHD14B	1.635
ABHD15	1.954
ABHD16A	1.646
ABHD16B	1.849
ABHD17A	2.368
ABHD17B	1.61
ABHD17C	2
ABHD18	2.39
ABHD2	2
ABHD3	2.129
ABHD4	1.92
ABHD5	1.635
ABHD6	1.635
ABHD8	2.368
ABI1	1.96
ABI2	2.13
ABI3	1.954
ABI3BP	1.635
ABL1	1.61
ABL2	1.973
ABLIM1	1.96
ABLIM2	2.05
ABLIM3	1.963
ABO	1.61
ABR	1.455
ABRA	1.914
ABRACL	1.687
ABT1	1.703
ABTB1	2.033
ABTB2	2.205
ACAA1	1.635
ACAA2	2.129
ACACA	1.869
ACACB	2.061
ACAD10	2.061
ACAD11	2.033
ACAD8	1.922
ACAD9	2.033
ACADL	2.13
ACADM	2.053
ACADS	2.061
ACADSB	1.96
ACADVL	1.954
ACAN	2
ACAP1	1.954
ACAP2	2.033
ACAP3	2.053
ACAT1	1.922
ACAT2	1.687
ACBD3	1.973
ACBD4	1.954
ACBD5	1.96
ACBD6	1.973
ACBD7	1.96
ACCS	2.205
ACCSL	2.205
ACD	2.266
ACE	1.954
ACE2	2.147
ACER1	2.368
ACER2	1.946
ACER3	1.922
ACHE	2.009
ACIN1	1.92
ACKR1	1.973
ACKR2	1.635
ACKR3	2.13
ACKR4	2.033
ACLY	1.954
ACMSD	2.13
ACO1	1.946
ACO2	1.865
ACOD1	2.057
ACOT1	1.92
ACOT11	2.053
ACOT12	1.963
ACOT13	1.703
ACOT2	1.92
ACOT4	1.92
ACOT6	1.92
ACOT7	2.053
ACOT8	1.849
ACOT9	2.147
ACOX1	1.954
ACOX2	1.635
ACOX3	2.05
ACOXL	2.13
ACP1	1.975
ACP2	2.205
ACP5	2.368
ACP6	1.973
ACP7	2.142
ACPP	2.033
ACPT	2.391
ACR	1.865
ACRBP	2.061
ACRC	2.147
ACRV1	1.922
ACSBG1	2
ACSBG2	2.368
ACSF2	1.954
ACSF3	2.266
ACSL1	2.39
ACSL3	2.13
ACSL4	2.147
ACSL5	1.96
ACSL6	1.963
ACSM1	2.167
ACSM2A	2.167
ACSM2B	2.167
ACSM3	2.167
ACSM4	2.061
ACSM5	2.167
ACSM6	1.96
ACSS1	1.849
ACSS2	1.849
ACSS3	2.061
ACTA1	1.973
ACTA2	1.96
ACTA2-AS1	1.96
ACTB	2.009
ACTBL2	2
ACTC1	2
ACTG1	1.954
ACTG1P17	2
ACTG1P20	2.053
ACTG1P4	2.053
ACTG2	1.975
ACTL10	1.849
ACTL6A	2.033
ACTL6B	2.009
ACTL7A	2
ACTL7B	1.61
ACTL8	2.053
ACTL9	2.368
ACTN1	1.92
ACTN1-AS1	2
ACTN2	1.973
ACTN3	1.922
ACTN4	2.142
ACTR10	1.92
ACTR1A	1.96
ACTR1B	2.13
ACTR2	1.975
ACTR3	2.13
ACTR3B	2.009
ACTR3BP2	2.13
ACTR3BP5	1.96
ACTR3C	2.009
ACTR5	1.849
ACTR6	2.061
ACTR8	1.635
ACTRT1	2.147
ACTRT2	2.053
ACTRT3	2.033
ACVR1	2.13
ACVR1B	2.061
ACVR1C	2.13
ACVR2A	2.13
ACVR2B	1.635
ACVR2B-AS1	1.635
ACVRL1	2.061
ACY1	1.635
ACY3	1.922
ACYP1	1.92
ACYP2	1.975
ADA	1.849
ADAD1	2.39
ADAD2	2.266
ADAL	2
ADAM10	2
ADAM11	1.954
ADAM12	1.96
ADAM15	1.973
ADAM17	1.975
ADAM18	1.783
ADAM19	1.963
ADAM1A	2
ADAM2	1.783
ADAM20	1.92
ADAM20P1	1.92
ADAM21	1.92
ADAM21P1	1.92
ADAM22	2.009
ADAM23	2.13
ADAM28	1.914
ADAM29	2
ADAM30	2.053
ADAM32	1.783
ADAM33	1.849
ADAM3A	2
ADAM5	2
ADAM6	2
ADAM7	1.914
ADAM8	1.96
ADAM9	1.783
ADAMDEC1	1.914
ADAMTS1	2.223
ADAMTS10	2.368
ADAMTS12	3.204
ADAMTS13	1.61
ADAMTS14	1.96
ADAMTS15	1.922
ADAMTS16	1.955
ADAMTS17	2
ADAMTS18	2.266
ADAMTS19	1.963
ADAMTS19-AS1	1.963
ADAMTS2	1.963
ADAMTS20	2.061
ADAMTS3	2.39
ADAMTS4	1.973
ADAMTS5	2.223
ADAMTS6	1.963
ADAMTS7	2
ADAMTS7P1	1.747
ADAMTS8	1.922
ADAMTS9	1.635
ADAMTS9-AS1	1.635
ADAMTS9-AS2	1.635
ADAMTSL1	1.946
ADAMTSL2	1.61
ADAMTSL3	2
ADAMTSL4	1.973
ADAMTSL4-AS1	1.973
ADAMTSL5	2.368
ADAP1	2.009
ADAP2	1.954
ADAR	1.973
ADARB1	2.223
ADARB2	1.96
ADARB2-AS1	2
ADAT1	2.266
ADAT2	1.687
ADAT3	2.368
ADCK1	1.92
ADCK2	2.009
ADCK5	1.914
ADCY1	2.009
ADCY10	1.973
ADCY10P1	1.703
ADCY2	1.955
ADCY3	1.975
ADCY4	1.92
ADCY5	2.033
ADCY6	2.061
ADCY7	2.266
ADCY8	1.914
ADCY9	2.167
ADCYAP1	2.129
ADCYAP1R1	2.009
ADD1	2.05
ADD2	1.975
ADD3	1.96
ADD3-AS1	2
ADGB	1.687
ADGRA1	1.96
ADGRA1-AS1	2
ADGRA2	1.914
ADGRA3	2.05
ADGRB1	1.914
ADGRB2	2.053
ADGRB3	1.687
ADGRD1	2.061
ADGRE1	2.368
ADGRE2	2.368
ADGRE3	2.368
ADGRE4P	2
ADGRE5	2.368
ADGRF1	1.703
ADGRF2	1.703
ADGRF3	1.975
ADGRF4	1.703
ADGRF5	1.703
ADGRG1	2.266
ADGRG2	2.147
ADGRG3	2.266
ADGRG4	2.147
ADGRG5	2.266
ADGRG6	1.687
ADGRG7	1.635
ADGRL1	2.368
ADGRL2	2.053
ADGRL3	2.39
ADGRL3-AS1	2.39
ADGRL4	2.053
ADGRV1	1.963
ADH1A	2.39
ADH1B	2.39
ADH1C	2.39
ADH4	2.39
ADH5	2.39
ADH6	2.39
ADH7	2.39
ADHFE1	1.914
ADI1	2.097
ADIG	1.849
ADIPOQ	2.033
ADIPOQ-AS1	2.033
ADIPOR1	1.973
ADIPOR2	2.061
ADIRF	1.96
ADK	1.96
ADM	2.205
ADM2	1.865
ADM5	2.391
ADNP	2
ADNP-AS1	1.849
ADNP2	2.129
ADO	1.96
ADORA1	1.973
ADORA2A	1.865
ADORA2A-AS1	1.865
ADORA2B	1.954
ADORA3	2.053
ADPGK	2
ADPGK-AS1	2
ADPRH	2.033
ADPRHL1	2.057
ADPRHL2	2.053
ADPRM	1.954
ADRA1A	1.914
ADRA1B	1.963
ADRA1D	1.849
ADRA2A	1.96
ADRA2B	2.13
ADRA2C	2.05
ADRB1	1.96
ADRB2	2
ADRB3	1.914
ADRM1	1.849
ADSL	1.865
ADSS	1.973
ADSSL1	1.92
ADTRP	1.703
AEBP1	2.009
AEBP2	2.061
AEN	2
AES	2.368
AFAP1	2.05
AFAP1-AS1	2.05
AFAP1L1	1.963
AFAP1L2	1.96
AFDN	1.687
AFDN-AS1	1.687
AFF1	2.39
AFF2	2.147
AFF3	2.13
AFF4	1.963
AFG3L1P	2.266
AFG3L2	2.129
AFM	2.39
AFMID	1.954
AFP	2.39
AFTPH	1.975
AGA	2.39
AGAP1	2.13
AGAP1-IT1	2
AGAP11	1.96
AGAP12P	2
AGAP2	2.061
