"","sample1","sample2","sample4","sample13","sample14","sample15","sample16","sample17","sample6","sample9","sample10","sample11","sample12"
"AMPD2",1,1,0,0,0,0,0,0,0,0,0,0,0
"PRAMEF10",1,1,0,0,0,0,0,0,0,0,0,0,0
"ZNF436",1,0,0,0,0,0,0,0,0,0,0,0,0
"MUC2",1,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF408",1,1,0,0,0,0,0,0,0,0,0,0,0
"MYH7",1,0,0,0,0,0,0,0,0,0,0,0,0
"MIA2",1,1,0,0,0,0,0,0,0,0,0,0,0
"GOLGA6L4",1,1,0,0,0,0,0,0,0,0,0,0,0
"GOT2",1,1,0,0,0,0,0,0,0,0,0,0,0
"PAFAH1B1",1,1,0,0,0,0,0,0,0,0,0,0,0
"NUP85",1,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF737",1,1,0,0,0,0,0,0,0,0,0,0,0
"UBR3",1,1,0,0,0,0,0,0,0,0,0,0,0
"CGREF1",1,1,0,0,0,0,0,0,0,0,0,0,0
"FER1L5",1,0,0,0,0,0,0,0,0,0,0,0,0
"APP",1,1,0,0,0,0,0,0,0,0,0,0,0
"VHL",1,1,1,1,0,0,0,1,0,1,1,0,1
"BAP1",1,0,0,0,0,0,0,0,1,0,0,0,0
"PBRM1",1,0,0,1,0,0,0,1,1,1,1,0,1
"ADAMTS6",1,0,0,0,0,0,0,0,0,0,0,0,0
"GRM8",1,0,0,0,0,0,0,0,0,0,0,0,0
"ESX1",1,1,0,0,0,0,0,0,0,0,0,0,0
"CELSR2",0,1,0,0,0,0,0,0,0,0,0,0,0
"AMPD2",0,0,0,0,0,0,0,0,0,0,0,0,0
"MTOR",0,1,0,0,0,0,0,1,0,0,0,0,0
"PRAMEF10",0,0,0,0,0,0,0,0,0,0,0,0,0
"CELA2B",0,1,0,0,0,0,0,0,0,0,0,0,0
"PIGR",0,1,0,0,0,0,0,0,0,0,0,0,0
"COL8A2",0,1,0,0,0,0,0,0,0,0,0,0,0
"TCP11L1",0,1,0,0,0,0,0,0,0,0,0,0,0
"ZNF408",0,0,0,0,0,0,0,0,0,0,0,0,0
"MUC19",0,2,0,0,0,0,0,0,0,0,0,1,0
"MUC19",0,0,0,0,0,0,0,0,0,0,0,0,0
"RDH16",0,1,0,0,0,0,0,0,0,0,0,0,0
"TMPO",0,1,0,0,0,0,0,0,0,0,0,0,0
